X,Y,Location,Juris,Status,Lat,Long
-111.8226211,33.43030689,NB MESA DR & FS 8TH ST,Mesa,Active,33.430312,-111.822632
-111.8227542,33.41567866,NB MESA DR & FS MAIN ST,Mesa,Active,33.415684,-111.822765
-111.8227092,33.4227857,NB MESA DR & FS UNIVERSITY DR,Mesa,Active,33.422791,-111.82272
-111.6841721,33.43272381,NB POWER RD & FS ENSENADA ST,Mesa,Active,33.432729,-111.684183
-111.6842761,33.41854067,NB POWER RD & NS ALBANY ST,Mesa,Active,33.418546,-111.684287
-111.6840952,33.43795384,NB POWER RD & FS BROWN RD,Mesa,Active,33.437959,-111.684106
-111.6842322,33.42716888,NB POWER RD & FS DECATUR ST,Mesa,Active,33.427174,-111.684243
-111.6838961,33.44940569,NB POWER RD & FS JENSEN ST,Mesa,Active,33.449411,-111.683907
-111.6843261,33.41649678,NB POWER RD & FS MAIN ST,Mesa,Active,33.416502,-111.684337
-111.6842304,33.42353688,NB POWER RD & FS UNIVERSITY DR,Mesa,Active,33.423542,-111.684241
-111.8051383,33.4339409,NB STAPLEY DR & NS FAIRFIELD ST,Mesa,Active,33.433946,-111.805149
-111.8051744,33.41906386,NB STAPLEY DR & FS 2ND ST,Mesa,Active,33.419069,-111.805185
-111.8051362,33.42997579,NB STAPLEY DR & FS 8TH ST,Mesa,Active,33.429981,-111.805147
-111.8051321,33.43728678,NB STAPLEY DR & FS BROWN RD,Mesa,Active,33.437292,-111.805143
-111.8050551,33.44003675,NB STAPLEY DR & FS GRANDVIEW ST,Mesa,Active,33.440042,-111.805066
-111.8056212,33.3826597,NB STAPLEY DR & FS INVERNESS AV,Mesa,Active,33.382665,-111.805632
-111.8048093,33.4484488,NB STAPLEY DR & FS JENSEN ST,Mesa,Active,33.448454,-111.80482
-111.8051573,33.41546674,NB STAPLEY DR & FS MAIN ST,Mesa,Active,33.415472,-111.805168
-111.8049261,33.44452283,NB STAPLEY DR & FS MCLELLAN RD,Mesa,Active,33.444528,-111.804937
-111.8050464,33.42281284,NB STAPLEY DR & FS UNIVERSITY DR,Mesa,Active,33.422818,-111.805057
-111.8051551,33.42619979,NB STAPLEY DR & NS 6TH ST,Mesa,Active,33.426205,-111.805166
-111.8595911,33.37910269,NB ALMA SCHOOL RD & FS BASELINE RD,Mesa,Active,33.379108,-111.859602
-111.8588762,33.36490566,NB ALMA SCHOOL RD & FS GUADALUPE RD,Mesa,Active,33.364911,-111.858887
-111.8570352,33.3887149,NB ALMA SCHOOL RD & FS HOLMES AV,Mesa,Active,33.38872,-111.857046
-111.8577681,33.38296776,NB ALMA SCHOOL RD & NS JAVELINA AV,Mesa,Active,33.382973,-111.857779
-111.8594461,33.37495773,NB ALMA SCHOOL RD & FS KILAREA AV,Mesa,Active,33.374963,-111.859457
-111.8592854,33.37177966,NB ALMA SCHOOL RD & FS MEDINA AV,Mesa,Active,33.371785,-111.859296
-111.8591293,33.36853892,NB ALMA SCHOOL RD & FS MESETO AV,Mesa,Active,33.368544,-111.85914
-111.8589301,33.3606099,NB ALMA SCHOOL RD & FS PECOS AV,Mesa,Active,33.360615,-111.858941
-111.8398973,33.39727888,NB COUNTRY CLUB DR & FS 10TH AV,Mesa,Active,33.397284,-111.839908
-111.8397333,33.41340093,NB COUNTRY CLUB DR & FS 1ST AV,Mesa,Active,33.413406,-111.839744
-111.8399081,33.40131767,NB COUNTRY CLUB DR & FS 8TH AV,Mesa,Active,33.401323,-111.839919
-111.8399061,33.39094489,NB Country Club Dr at 1331 South,Mesa,Active,33.39095,-111.839917
-111.8398192,33.3940357,NB COUNTRY CLUB DR & FS SOUTHERN AV,Mesa,Active,33.394041,-111.83983
-111.8398591,33.40529376,NB COUNTRY CLUB DR & MB 6TH DR BROADWAY FRONTAGE,Mesa,Active,33.405299,-111.83987
-111.8774191,33.37893673,NB DOBSON RD & FS BASELINE RD,Mesa,Active,33.378942,-111.87743
-111.8742853,33.40811889,NB DOBSON RD & FS BROADWAY RD,Mesa,Active,33.408124,-111.874296
-111.8763801,33.36461493,NB DOBSON RD & FS GUADALUPE RD,Mesa,Active,33.36462,-111.876391
-111.8749022,33.38311378,NB DOBSON RD & FS ISABELLA AV,Mesa,Active,33.383119,-111.874913
-111.8781071,33.37663982,NB DOBSON RD & FS LINDNER AV,Mesa,Active,33.376645,-111.878118
-111.8743943,33.39357792,NB DOBSON RD & FS SOUTHERN AV,Mesa,Active,33.393583,-111.874405
-111.8744331,33.3897799,NB DOBSON RD & MB US-60 RAMP,Mesa,Active,33.389785,-111.874444
-111.6612553,33.3760898,NB FARNSWORTH DR & FS KIOWA ST,Mesa,Active,33.376095,-111.661266
-111.7881283,33.37958768,NB GILBERT RD & FS BASELINE RD,Mesa,Active,33.379593,-111.788139
-111.7880963,33.41134165,NB GILBERT RD & FS BAYBERRY AV,Mesa,Active,33.411347,-111.788107
